"file","passengers","originalRoute","finalRoute","pass1","repaired","finalPass","status","offers","supplierMessage"
"AncillaryHoldMulti.json","ADTx2,CHDx2,INFx2","BER-CAI@+29d | CAI-YNB@+32d","BER-CAI@+29d | CAI-YNB@+32d","True","False","True","200","84",""
"AncillaryHoldMulti1.json","ADTx3,CHDx3,INFx3","YNB-CAI@+41d | CAI-BER@+48d","YNB-CAI@+41d | CAI-BER@+48d","True","False","True","200","56",""
"AncillaryHoldMulti2.json","ADTx4,CHDx2,INFx2","KWI-CAI@+31d | CAI-DUS@+34d","KWI-CAI@+31d | CAI-DUS@+34d","True","False","True","200","72",""
"AncillaryHoldMulti3.json","ADTx4,CHDx4,INFx1","YNB-CAI@+41d | CAI-BER@+44d","YNB-CAI@+41d | CAI-BER@+44d","True","False","True","200","56",""
"AncillaryHoldMulti4.json","ADTx2,CHDx2,INFx2","YNB-CAI@+45d | CAI-BER@+48d","YNB-CAI@+45d | CAI-BER@+48d","True","False","True","200","69",""
"AncillaryHoldMulti5.json","ADTx3,CHDx3,INFx3","SSH-CAI@+46d | CAI-FRA@+49d","SSH-CAI@+46d | CAI-FRA@+49d","True","False","True","200","200",""
"AncillaryHoldMulti6.json","ADTx4,CHDx2,INFx2","LXR-CAI@+47d | CAI-KWI@+50d","LXR-CAI@+47d | CAI-KWI@+50d","True","False","True","200","17",""
"AncillaryHoldMulti7.json","ADTx4,CHDx4,INFx1","YNB-CAI@+44d | CAI-BER@+48d","YNB-CAI@+44d | CAI-BER@+48d","True","False","True","200","56",""
"AncillaryHoldOne.json","ADTx2,CHDx2,INFx2","CAI-BER@+26d","CAI-BER@+26d","True","False","True","200","17",""
"AncillaryHoldOne1.json","ADTx3,CHDx3,INFx3","CAI-SSH@+27d","CAI-SSH@+27d","True","False","True","200","30",""
"AncillaryHoldOne2.json","ADTx4,CHDx2,INFx2","CAI-HBE@+28d","CAI-HBE@+28d","True","False","True","200","4",""
"AncillaryHoldOne3.json","ADTx3,CHDx3,INFx3","CAI-KWI@+29d","CAI-KWI@+29d","True","False","True","200","4",""
